Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Gauntlet,gauntlet,31/12/1984,ESRB-T,1,1,
Hollow Knight,hollow-knight,23/02/2017,ESRB-E10,1,0,
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),winning-eleven-pro-evolution-soccer-2007-all-region-sales,00/00/2007,,,,
Road & Track Presents: The Need for Speed,road-amp-track-presents-the-need-for-speed,00/00/1996,,,,
NFL GameDay 2001,nfl-gameday-2001,15/09/2000,ESRB-E,,,
Tom Clancy's Splinter Cell: Blacklist,tom-clancys-splinter-cell-blacklist,00/00/2013,,,,
NBA Live 97,nba-live-97,31/01/1996,,,,
Dynasty Warriors 3: Xtreme Legends,dynasty-warriors-3-xtreme-legends,10/02/2003,ESRB-T,,,
Just Dance 2017,just-dance-2017,24/10/2016,ESRB-E10,1,1,
Jampack Winter 2000,jampack-winter-2000,00/00/2000,,,,
NCAA Football 12,ncaa-football-12,11/07/2011,ESRB-E,1,1,NCAA
Ace Combat X: Skies of Deception,ace-combat-x-skies-of-deception,23/10/2006,,,,
NFL Fever 2002,nfl-fever-2002,14/11/2001,ESRB-E,1,1,NFL
Haze,haze,19/05/2008,ESRB-M,1,1,
Oddworld: Abe's Exoddus,oddworld-abes-exoddus,00/00/1998,,,,
Tales of Graces f,tales-of-graces-f,01/12/2010,ESRB-T,,,
DiRT 2,dirt-2,00/00/2009,,,,
The Bouncer,the-bouncer,22/12/2000,ESRB-T,1,1,
Apollo Justice: Ace Attorney,apollo-justice-ace-attorney,11/04/2007,ESRB-T,1,0,
Midnight Club: LA Remix,midnight-club-la-remix,20/10/2008,PEGI-12,1,0,
Puzzler Collection,puzzler-collection,04/09/2008,ESRB-E,,,
DmC: Devil May Cry,dmc-devil-may-cry,14/01/2013,ESRB-M,1,0,
Cars Race-O-Rama,cars-race-o-rama,11/10/2009,ESRB-E,1,0,Cars
Army of Two: The 40th Day,army-of-two-the-40th-day,07/01/2010,ESRB-M,1,1,
PlayStation All-Stars Battle Royale,playstation-all-stars-battle-royale,19/11/2012,ESRB-T,1,1,
Littlest Pet Shop: Winter,littlest-pet-shop-winter,13/10/2008,,,,
WWE 2K19,wwe-2k19,08/10/2018,ESRB-T,1,1,
Disney Epic Mickey 2: The Power of Two,disney-epic-mickey-2-the-power-of-two,00/00/2012,,,,
Sniper Elite V2,sniper-elite-v2,29/04/2012,ESRB-M,1,1,
Zoo Tycoon DS,zoo-tycoon-ds,10/10/2005,ESRB-E,1,0,
Mario Party Advance,mario-party-advance,12/01/2005,ESRB-E,1,1,Mario Bros.
Disney Tangled,disney-tangled,00/00/2010,,,,
Air-Sea Battle,air-sea-battle,31/08/1977,,1,1,
Suikoden III,suikoden-iii,10/07/2002,ESRB-T,,,
Injustice: Gods Among Us - Ultimate Edition,injustice-gods-among-us-ultimate-edition,11/11/2013,,1,1,DC Comics
The Witcher 2: Assassins of Kings,the-witcher-2-assassins-of-kings,16/05/2011,PEGI-18,1,0,
Dragon Quest X,dragon-quest-x,01/08/2012,,0,1,
Fire Emblem,fire-emblem,00/00/2003,,,,
Brütal Legend,brutal-legend,12/10/2009,PEGI-18,1,1,
Dragon's Dogma: Dark Arisen,dragons-dogma-dark-arisen,22/04/2013,ESRB-M,1,0,
Band Hero,band-hero,02/11/2009,ESRB-E10,1,1,
EA Sports UFC 3,ea-sports-ufc-3,01/02/2018,ESRB-T,1,1,
NHL 2004,nhl-2004,21/09/2003,ESRB-E,1,1,
South Park: The Stick of Truth,south-park-the-stick-of-truth,03/03/2014,ESRB-M,1,0,South Park
Romancing SaGa,romancing-saga,27/01/1992,ESRB-E10,1,0,
Donkey Kong Junior,donkey-kong-junior,00/00/1983,,,,
Medal of Honor: Underground,medal-of-honor-underground,22/10/2000,PEGI-16,1,1,
Dark Cloud 2,dark-cloud-2,27/11/2002,PEGI-12,1,0,
Kingdoms of Amalur: Reckoning,kingdoms-of-amalur-reckoning,06/02/2012,ESRB-M,1,0,
Guitar Hero: Warriors of Rock,guitar-hero-warriors-of-rock,23/09/2010,ESRB-T,1,1,
Jampack Summer '99,jampack-summer-99,00/00/1999,,,,
Dance Dance Revolution 2nd ReMIX,dance-dance-revolution-2nd-remix,00/00/1999,,,,
Star Fox 64 3D,star-fox-64-3d,16/07/2011,ESRB-E10,1,1,
Sea of Thieves,sea-of-thieves,19/03/2018,ESRB-T,0,1,
Star Soldier,star-soldier,12/06/1986,ESRB-E,1,0,
de Blob,de-blob,07/07/2008,ESRB-E,1,1,
Firewatch,firewatch,08/02/2016,ESRB-M,1,0,
Pilotwings Resort,pilotwings-resort,24/03/2011,,1,0,
NHL 2001,nhl-2001,25/09/2000,ESRB-E,1,1,
Hammerwatch,hammerwatch,11/08/2013,ESRB-E10,1,1,
Dragon Quest Monsters: Terry's Wonderland 3D,dragon-quest-monsters-terrys-wonderland-3d,00/00/2012,,,,
My Weight Loss Coach,my-weight-loss-coach,23/07/2008,ESRB-E,,,
Shinobi,shinobi,30/12/1987,ESRB-E10,1,1,
MLB 16: The Show,mlb-16-the-show,00/00/2016,,,,
Gangs of London,gangs-of-london,30/09/2006,PEGI-18,,,
Club Penguin: Game Day!,club-penguin-game-day,16/09/2010,ESRB-E,,,
Total War: Warhammer II,total-war-warhammer-ii,27/09/2017,ESRB-T,1,1,
Football Manager 2018,football-manager-2018,09/11/2017,PEGI-3,1,1,
Scooby-Doo! First Frights,scooby-doo-first-frights,21/09/2009,ESRB-E10,1,0,Scooby-Doo
Harvest Moon 3D: A New Beginning,harvest-moon-3d-a-new-beginning,05/12/2012,,,,
Skylanders: Trap Team,skylanders-trap-team,04/10/2014,ESRB-E10,1,1,
World Championship Poker,world-championship-poker,02/11/2004,ESRB-T,1,1,
Move or Die,move-or-die,20/01/2016,,1,1,
Poker Night at the Inventory,poker-night-at-the-inventory,21/11/2010,,1,0,
Mega Man Star Force: Dragon,mega-man-star-force-dragon,13/12/2006,ESRB-E,1,1,Mega Man
Wild Arms,wild-arms,30/11/1996,ESRB-E,1,0,
Kessen,kessen,03/03/2000,ESRB-T,1,0,
Red Steel,red-steel,18/11/2006,ESRB-T,1,1,
Ben 10: Alien Force,ben-10-alien-force,27/10/2008,ESRB-E10,1,1,Ben 10
Lost Planet 2,lost-planet-2,10/05/2010,ESRB-T,1,1,
Driver: San Francisco,driver-san-francisco,01/09/2011,ESRB-T,1,1,
Wipeout In the Zone,wipeout-in-the-zone,13/06/2011,ESRB-E10,1,1,
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,yu-gi-oh-worldwide-edition-stairway-to-the-destined-duel,14/04/2003,ESRB-E,1,1,Yu-Gi-Oh!
NCAA Football 2000,ncaa-football-2000,29/07/2000,ESRB-E,,,
White Knight Chronicles: International Edition,white-knight-chronicles-international-edition,01/03/2010,,,,
Getting Over It with Bennett Foddy,getting-over-it-with-bennett-foddy,05/12/2017,ESRB-E,1,0,
LEGO Batman 3: Beyond Gotham,lego-batman-3-beyond-gotham,10/11/2014,ESRB-E10,1,1,
Disney Magic Castle: My Happy Life,disney-magic-castle-my-happy-life,00/00/2014,,,,
Dust: An Elysian Tail,dust-an-elysian-tail,14/08/2012,ESRB-E10,1,0,
Killzone,killzone,01/11/2004,PEGI-16,1,1,
Colin McRae Rally 04,colin-mcrae-rally-04,01/04/2004,ESRB-E,1,1,
Mount Your Friends,mount-your-friends,05/06/2013,,1,1,
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,midway-presents-arcades-greatest-hits-the-atari-collection-1,29/07/1997,,,,
Castlevania: Lament of Innocence,castlevania-lament-of-innocence,20/10/2003,,1,0,
Brothers In Arms: Hell's Highway,brothers-in-arms-hells-highway,00/00/2008,,,,
Zombie Army Trilogy,zombie-army-trilogy,02/03/2015,ESRB-M,1,1,
Destroy All Humans!,destroy-all-humans,20/06/2005,ESRB-T,1,0,
Tony Hawk: Ride,tony-hawk-ride,16/11/2009,ESRB-E10,1,1,
SaGa Frontier 2,saga-frontier-2,31/03/1999,ESRB-T,1,0,
NCAA Football 10,ncaa-football-10,13/07/2009,ESRB-E,1,1,NCAA
MLB 2000,mlb-2000,27/02/1999,ESRB-E,1,1,
Bully,bully,16/10/2006,ESRB-T,1,1,
MLB 06: The Show,mlb-06-the-show,27/02/2006,ESRB-E,1,1,
NHL 2003,nhl-2003,29/09/2002,ESRB-E,1,1,
MLB 12: The Show,mlb-12-the-show,05/03/2012,ESRB-E,1,1,
Monster Trucks,monster-trucks,00/00/2005,,,,
Kingdom Hearts Re:coded,kingdom-hearts-recoded,00/00/2011,,,,
Guitar Hero: Metallica,guitar-hero-metallica,28/03/2009,ESRB-T,1,1,
2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,2-games-in-1-double-pack-finding-nemo,00/00/2005,,,,
Monster High: Ghoul Spirit,monster-high-ghoul-spirit,24/10/2011,ESRB-E,1,1,
Castlevania II: Simon's Quest,castlevania-ii-simons-quest,00/00/1988,,,,
Mega Man 4,mega-man-4,05/12/1991,ESRB-E,1,0,Mega Man
Build-A-Bear Workshop,build-a-bear-workshop,22/11/2007,,,,
MLB 07: The Show,mlb-07-the-show,25/02/2007,ESRB-E,1,1,
Jak and Daxter Collection,jak-and-daxter-collection,06/02/2012,ESRB-T,1,0,
Operation Flashpoint: Dragon Rising,operation-flashpoint-dragon-rising,05/10/2009,PEGI-18,1,1,
The Talos Principle,the-talos-principle,10/12/2014,ESRB-E10,1,0,
SnoCross Championship Racing,snocross-championship-racing,21/09/2000,,,,
Phoenix Wright: Ace Attorney,phoenix-wright-ace-attorney,10/10/2001,ESRB-T,1,0,
NCAA Football 11,ncaa-football-11,12/07/2010,ESRB-E,1,1,NCAA
Top Gun: Combat Zones,top-gun-combat-zones,20/10/2001,ESRB-E,1,0,
NHL 98,nhl-98,22/10/1997,,1,1,
Nickelodeon Fit,nickelodeon-fit,07/12/2010,,,,
Space Jam,space-jam,31/01/1996,,,,
Spongebob Squarepants: The Yellow Avenger,spongebob-squarepants-the-yellow-avenger,05/03/2006,ESRB-E,1,0,Spongebob Squarepants
Balloon Fight,balloon-fight,21/01/1985,ESRB-E,1,1,
Xenoblade Chronicles,xenoblade-chronicles,09/06/2010,ESRB-T,1,0,
Crysis 3,crysis-3,18/02/2013,ESRB-M,1,1,
Killzone: Mercenary,killzone-mercenary,03/09/2013,PEGI-18,1,1,
Starsky & Hutch,starsky-amp-hutch,00/00/2003,,,,
Tobal No.1,tobal-no1,00/00/1996,,,,
Blue Dragon,blue-dragon,06/12/2006,ESRB-T,1,0,
Buzz!: Quiz World,buzz-quiz-world,29/10/2009,ESRB-T,1,1,
EA Sports Grand Slam Tennis,ea-sports-grand-slam-tennis,00/00/2009,,,,
Farming Simulator 2013,farming-simulator-2013,30/12/2012,ESRB-E,1,1,
Dynasty Warriors 7,dynasty-warriors-7,09/03/2011,ESRB-T,1,1,Romance Of The Three Kingdoms
Portal Knights,portal-knights,17/05/2017,ESRB-E10,1,1,
Street Hoops,street-hoops,11/08/2002,ESRB-T,1,1,
Knockout Kings 2002,knockout-kings-2002,00/00/2002,,,,
Tom Clancy's EndWar,tom-clancys-endwar,00/00/2008,,,,
Tokyo Xtreme Racer 3,tokyo-xtreme-racer-3,17/12/2003,,,,
Sonic Riders: Zero Gravity,sonic-riders-zero-gravity,07/01/2008,ESRB-E,1,1,
Colin McRae Rally 2.0,colin-mcrae-rally-20,00/00/2000,,,,
Glover,glover,15/11/1998,ESRB-E,1,0,
AMF Bowling Pinbusters!,amf-bowling-pinbusters,19/11/2007,ESRB-E,1,1,AMF
Super Momotarou Dentetsu III,super-momotarou-dentetsu-iii,08/12/1994,,,,
Spelunky,spelunky,20/12/2008,,1,0,
MX vs. ATV Reflex,mx-vs-atv-reflex,30/11/2009,ESRB-E,1,1,
Tiger Woods PGA Tour 2002,tiger-woods-pga-tour-2002,30/12/2001,ESRB-E,1,0,
Lost Odyssey,lost-odyssey,05/12/2007,PEGI-16,1,0,
Marvel: Ultimate Alliance 2,marvel-ultimate-alliance-2,14/09/2009,ESRB-T,1,1,
Mini-Yonku Shining Scorpion: Let's & Go!!,mini-yonku-shining-scorpion-lets-amp-go,00/00/1996,,,,
MLB 2005,mlb-2005,03/03/2004,ESRB-E,1,1,
Burnout Revenge,burnout-revenge,12/09/2005,ESRB-E10,1,1,
SOCOM 4: U.S. Navy SEALs,socom-4-us-navy-seals,00/00/2011,,,,
James Cameron's Avatar: The Game,james-camerons-avatar-the-game,00/00/2009,,,,
Destruction Derby,destruction-derby,19/10/1995,,1,1,
Killzone: Liberation,killzone-liberation,30/10/2006,ESRB-T,1,1,
The Biggest Loser: Ultimate Workout,the-biggest-loser-ultimate-workout,09/12/2010,ESRB-E,,,
3Xtreme,3xtreme,20/05/1999,ESRB-E,1,1,
Hot Shots Tennis,hot-shots-tennis,00/00/2007,,,,
Resistance: Retribution,resistance-retribution,11/03/2009,ESRB-M,1,1,
Spider-Man 3,spider-man-3,03/05/2007,ESRB-T,1,0,Spider-Man
Reus,reus,15/05/2013,ESRB-E10,1,0,
Harry Potter: Quidditch World Cup,harry-potter-quidditch-world-cup,27/10/2003,ESRB-E,1,1,Harry Potter
Buzz!: Master Quiz,buzz-master-quiz,24/07/2008,,,,
God of War Saga,god-of-war-saga,27/08/2012,ESRB-M,1,0,
Blitz: The League,blitz-the-league,16/10/2005,ESRB-M,1,1,
Touchmaster 2,touchmaster-2,20/11/2008,,,,
Castlevania: Circle of the Moon,castlevania-circle-of-the-moon,20/03/2001,ESRB-T,1,0,
Ni no Kuni II: Revenant Kingdom,ni-no-kuni-ii-revenant-kingdom,00/00/2018,,,,
Tiger Woods PGA Tour 06,tiger-woods-pga-tour-06,19/09/2005,,1,1,
Classic NES Series: The Legend of Zelda,classic-nes-series-the-legend-of-zelda,01/06/2004,ESRB-E,1,0,
Fire Emblem: The Sacred Stones,fire-emblem-the-sacred-stones,06/10/2004,ESRB-E,1,1,
Rhythm Heaven Fever,rhythm-heaven-fever,20/07/2011,ESRB-E,1,1,
Pokemon Card GB2: GRdan Sanjou,pokemon-card-gb2-grdan-sanjou,00/00/2001,,,,
God of War III: Remastered,god-of-war-iii-remastered,13/07/2015,ESRB-M,1,0,
We Ski & Snowboard,we-ski-amp-snowboard,00/00/2009,,,,
Tiger Woods PGA Tour 12: The Masters,tiger-woods-pga-tour-12-the-masters,00/00/2011,,,,
Ace Combat 2,ace-combat-2,29/05/1997,ESRB-E,1,0,
Dissidia 012: Duodecim Final Fantasy,dissidia-012-duodecim-final-fantasy,02/03/2011,ESRB-T,1,1,
NFL 2K2,nfl-2k2,18/09/2001,ESRB-E,1,1,
Resident Evil: Revelations,resident-evil-revelations,25/01/2012,PEGI-16,1,1,
CSI: Hard Evidence,csi-hard-evidence,24/09/2007,ESRB-M,1,0,CSI
The Tomb Raider Trilogy,the-tomb-raider-trilogy,21/03/2011,ESRB-T,1,0,
Fortnite,fortnite,24/07/2017,PEGI-12,1,1,
Fossil Fighters,fossil-fighters,17/04/2008,ESRB-E,1,1,
FIFA Soccer 09 All-Play,fifa-soccer-09-all-play,02/10/2008,ESRB-E,,,
Samba De Amigo,samba-de-amigo,25/10/2008,ESRB-E,,,
MLB 2001,mlb-2001,28/02/2000,ESRB-E,1,1,
Duke Nukem Forever,duke-nukem-forever,08/06/2011,ESRB-M,1,1,
Singstar: Anthems,singstar-anthems,26/07/2006,,1,1,
Seiken Densetsu 3,seiken-densetsu-3,00/00/1995,,,,
Mega Man 8: Anniversary Collector's Edition,mega-man-8-anniversary-collectors-edition,26/03/1997,,,,
Buzz!: Quiz TV,buzz-quiz-tv,03/07/2008,ESRB-T,1,1,
Call Of Juarez: Bound In Blood,call-of-juarez-bound-in-blood,29/06/2009,ESRB-M,1,1,
The Lord of the Rings: War in the North,the-lord-of-the-rings-war-in-the-north,31/10/2011,ESRB-M,1,1,The Lord of the Rings
LittleBigPlanet Karting,littlebigplanet-karting,05/11/2012,ESRB-E,1,1,
Monster 4x4: World Circuit,monster-4x4-world-circuit,22/03/2006,ESRB-E,1,1,
NBA 2K6,nba-2k6,25/09/2005,ESRB-E,1,1,
Sonic Chronicles: The Dark Brotherhood,sonic-chronicles-the-dark-brotherhood,24/09/2008,,1,0,
Buzz! The Mega Quiz,buzz-the-mega-quiz,26/04/2007,ESRB-E10,,,
Star Wars: Rebel Assault II - The Hidden Empire,star-wars-rebel-assault-ii-the-hidden-empire,31/10/1995,ESRB-E,1,0,Star Wars
Rock Band 3,rock-band-3,25/10/2010,ESRB-T,1,1,
F1 2009,f1-2009,16/11/2009,ESRB-E,1,1,
Lego Harry Potter Collection,lego-harry-potter-collection,20/10/2016,ESRB-E10,1,1,
ESPN NHL 2K5,espn-nhl-2k5,29/08/2004,ESRB-E,1,1,ESPN
Metal Gear Ac!d,metal-gear-acd,00/00/2005,,,,
Crimson Skies: High Road to Revenge,crimson-skies-high-road-to-revenge,20/10/2003,ESRB-T,1,1,
Spec Ops: Ranger Elite,spec-ops-ranger-elite,11/01/2001,ESRB-T,1,1,
Gex,gex,15/11/1994,ESRB-E,1,0,
Tales of Xillia 2,tales-of-xillia-2,31/10/2012,,1,1,
Peppa Pig: The Game,peppa-pig-the-game,03/01/2010,,,,
Derby Stallion II,derby-stallion-ii,17/02/1994,,,,
Tom Clancy's Ghost Recon: Island Thunder,tom-clancys-ghost-recon-island-thunder,00/00/2003,,,,
Need for Speed: V-Rally,need-for-speed-v-rally,29/09/1997,ESRB-E,1,1,
Kingdom Hearts Re:Chain of Memories,kingdom-hearts-re-chain-of-memories,28/03/2007,ESRB-E10,1,0,
Super Bomberman R,super-bomberman-r,11/06/2016,ESRB-E10,1,1,
NFL GameDay '97,nfl-gameday-97,00/00/1996,,,,
Paper Mario: Color Splash,paper-mario-color-splash,06/10/2016,ESRB-E,1,0,
Tony Hawk's Project 8,tony-hawks-project-8,00/00/2006,,,,
NHL 2000,nhl-2000,30/08/1999,ESRB-E,1,1,
Cooking Mama: World Kitchen,cooking-mama-world-kitchen,23/11/2008,ESRB-E,1,1,
Red Faction: Guerrilla,red-faction-guerrilla,01/06/2009,,1,1,
Fight Night Round 2,fight-night-round-2,31/08/2005,ESRB-T,1,1,
Mario Party: Star Rush,mario-party-star-rush,06/10/2016,ESRB-E,1,1,
Triple Play 2002,triple-play-2002,31/03/2002,ESRB-E,,,
Vagrant Story,vagrant-story,09/02/2000,ESRB-T,1,0,
Warriors Orochi,warriors-orochi,20/03/2007,ESRB-T,1,1,
Ghostbusters: The Video Game,ghostbusters-the-video-game,15/06/2009,ESRB-E10,1,1,Ghostbusters
Wizards of Waverly Place,wizards-of-waverly-place,24/09/2009,ESRB-E,,,
Enduro,enduro,30/12/1983,,1,0,
Endless Ocean: Blue World,endless-ocean-blue-world,21/03/2010,,,,
SingStar: '90s,singstar-90s,02/08/2007,,1,1,
Dead Rising 4,dead-rising-4,05/12/2016,ESRB-M,1,1,
Wii Fit U,wii-fit-u,31/10/2013,ESRB-E,1,0,
Lost Castle,lost-castle,30/08/2016,,1,1,
Tales of the Abyss,tales-of-the-abyss,14/12/2005,ESRB-T,1,1,
Lemmings,lemmings,13/02/1991,,1,1,
Beijing 2008,beijing-2008,25/06/2008,ESRB-E,1,1,
Rocky,rocky,17/10/2002,ESRB-T,1,1,Rocky
BioShock: The Collection,bioshock-the-collection,12/09/2016,ESRB-M,1,0,
Ford Racing,ford-racing,05/03/2001,ESRB-E,1,0,
Rise of Nations,rise-of-nations,19/05/2003,PEGI-12,1,1,
Plants vs Zombies: Garden Warfare 2,plants-vs-zombies-garden-warfare-2,22/02/2016,ESRB-E10,1,1,
Madden Football 64,madden-football-64,30/10/1997,ESRB-E,1,1,
Magicka 2,magicka-2,25/05/2015,,1,1,
MLB 99,mlb-99,30/03/1998,ESRB-E,1,1,
Bayonetta 2,bayonetta-2,19/09/2014,ESRB-M,1,1,
Gold's Gym Dance Workout,golds-gym-dance-workout,16/09/2010,,,,
Dynasty Warriors 4: Xtreme Legends,dynasty-warriors-4-xtreme-legends,24/09/2003,ESRB-T,,,
Pictionary,pictionary,30/12/2017,,0,1,
HuniePop,huniepop,18/01/2015,,1,0,
Tomb Raider: Anniversary,tomb-raider-anniversary,31/05/2007,ESRB-T,1,0,
Army Men: Air Attack,army-men-air-attack,12/10/1999,ESRB-T,1,1,
NBA 2K8,nba-2k8,01/10/2007,ESRB-E,1,1,
Until Dawn: Rush of Blood,until-dawn-rush-of-blood,12/10/2016,,1,0,
Ninja Gaiden Sigma 2,ninja-gaiden-sigma-2,28/09/2009,ESRB-M,1,1,
Street Fighter Alpha 2,street-fighter-alpha-2,26/02/1996,ESRB-T,1,1,
Disney Infinity 3.0,disney-infinity-30,00/00/2015,,,,
Dragon Ball Z: Burst Limit,dragon-ball-z-burst-limit,04/06/2008,ESRB-T,1,1,Dragon Ball
Castlevania III: Dracula's Curse,castlevania-iii-draculas-curse,00/00/1990,,,,
Rampage World Tour,rampage-world-tour,29/09/1997,ESRB-E10,1,1,
The Legendary Starfy,the-legendary-starfy,09/07/2008,ESRB-E,1,1,
Red Orchestra: Ostfront 41-45,red-orchestra-ostfront-41-45,13/03/2006,ESRB-M,0,1,
Burnout Legends,burnout-legends,12/09/2005,ESRB-E,1,1,
NFL GameDay,nfl-gameday,01/02/1996,,,,
Town of Salem,town-of-salem,14/12/2014,,0,1,
Burnout 2: Point of Impact,burnout-2-point-of-impact,29/09/2002,ESRB-E,1,1,
The House of the Dead: Overkill,the-house-of-the-dead-overkill,09/02/2009,ESRB-M,1,1,
Street Fighter EX3,street-fighter-ex3,00/00/2000,,,,
Darksiders II,darksiders-ii,13/08/2012,ESRB-M,1,0,
Xenoblade Chronicles X,xenoblade-chronicles-x,28/04/2015,ESRB-T,1,0,
SUPERHOT,superhot,24/02/2016,ESRB-T,1,0,
Petz: Dogz Fashion,petz-dogz-fashion,00/00/2008,,,,
ATV Quad Power Racing 2,atv-quad-power-racing-2,22/01/2007,ESRB-E,1,1,
ZombiU,zombiu,17/11/2012,ESRB-M,1,1,
Rocket Power: Team Rocket Rescue,rocket-power-team-rocket-rescue,03/09/2001,ESRB-E,1,0,
Madden NFL 09 All-Play,madden-nfl-09-all-play,00/00/2008,,,,
Big Mutha Truckers,big-mutha-truckers,26/11/2002,ESRB-T,1,0,
Harry Potter and the Order of the Phoenix,harry-potter-and-the-order-of-the-phoenix,24/06/2007,ESRB-E10,1,0,Harry Potter
Rogue Galaxy,rogue-galaxy,07/12/2005,PEGI-12,1,0,
Street Fighter X Tekken,street-fighter-x-tekken,05/03/2012,ESRB-T,1,1,
MLB 13: The Show,mlb-13-the-show,04/03/2013,ESRB-E,1,1,
ESPN College Hoops 2K5,espn-college-hoops-2k5,16/11/2004,ESRB-E,1,1,
Blazing Angels: Squadrons of WWII,blazing-angels-squadrons-of-wwii,22/03/2006,ESRB-T,1,1,
Metroid: Zero Mission,metroid-zero-mission,08/02/2004,ESRB-E,1,0,
Q*bert,qbert,00/00/1999,,,,
Dead Cells,dead-cells,06/08/2018,ESRB-T,1,0,
DJ Hero 2,dj-hero-2,18/10/2010,ESRB-T,1,1,
Ace Combat 3: Electrosphere,ace-combat-3-electrosphere,26/05/1999,ESRB-E,1,0,
Time Crisis 4,time-crisis-4,19/06/2006,PEGI-16,1,1,
Dynasty Warriors 2,dynasty-warriors-2,02/08/2000,ESRB-T,1,0,Romance Of The Three Kingdoms
Need for Speed: Nitro,need-for-speed-nitro,02/11/2009,ESRB-E10,1,1,
Stranglehold,stranglehold,06/09/2007,,1,1,Hard Boiled
Tiger Woods PGA Tour 11,tiger-woods-pga-tour-11,07/06/2010,ESRB-E,1,1,
Lizzie McGuire 2: Lizzie Diaries,lizzie-mcguire-2-lizzie-diaries,11/09/2004,ESRB-E,,,
FIFA Soccer World Championship,fifa-soccer-world-championship,00/00/2000,,,,
Brute Force,brute-force,26/05/2003,ESRB-M,1,1,
Yu-Gi-Oh! Dark Duel Stories,yu-gi-oh-dark-duel-stories,12/07/2000,ESRB-E,,,
The Game of Life,the-game-of-life,30/04/2013,ESRB-E,1,0,
Dance Central 3,dance-central-3,15/10/2012,ESRB-T,1,1,
Mega Man Legends,mega-man-legends,17/12/1997,ESRB-E,1,0,Mega Man
Sly 3: Honor Among Thieves,sly-3-honor-among-thieves,25/09/2005,PEGI-7,1,1,
Dragon Ball: Raging Blast 2,dragon-ball-raging-blast-2,01/11/2010,ESRB-T,1,1,
Twisted Metal (2012),twisted-metal-2012,00/00/2012,,,,
MLB SlugFest 20-03,mlb-slugfest-20-03,00/00/2002,,,,
Assetto Corsa,assetto-corsa,18/12/2014,ESRB-E,1,1,
Sid Meier's Civilization Revolution,sid-meiers-civilization-revolution,12/06/2008,ESRB-E10,1,1,
MediEvil,medievil,30/09/1998,ESRB-T,1,0,
Casper,casper,31/10/1996,,1,0,Casper The Friendly Ghost
Harvest Moon: Tree of Tranquility,harvest-moon-tree-of-tranquility,06/06/2007,ESRB-E,1,1,
Tony Hawk's Underground 2 Remix,tony-hawks-underground-2-remix,17/04/2005,ESRB-T,,,
Karaoke Revolution: Glee,karaoke-revolution-glee,08/12/2010,,,,
I Spy Fun House,i-spy-fun-house,26/09/2007,ESRB-E,,,
The Price Is Right,the-price-is-right,08/10/2008,ESRB-E,,,
Clu Clu Land,clu-clu-land,21/11/1984,ESRB-E,1,1,
Killer Instinct Gold,killer-instinct-gold,25/11/1996,ESRB-T,1,1,
Amped: Freestyle Snowboarding,amped-freestyle-snowboarding,18/11/2001,ESRB-E,1,1,
MediEvil: Resurrection,medievil-resurrection,31/08/2005,ESRB-T,1,0,
Custer's Revenge,custers-revenge,22/09/1982,,1,0,
Rocket Power: Beach Bandits,rocket-power-beach-bandits,19/09/2002,ESRB-E,1,0,Rocket Power
Patapon,patapon,19/12/2007,ESRB-E,1,0,
The Crew 2,the-crew-2,28/06/2018,ESRB-T,1,1,
Pro Evolution Soccer 2016,pro-evolution-soccer-2016,14/09/2015,,1,1,
Shin Megami Tensei: Persona 4,shin-megami-tensei-persona-4,00/00/2008,,,,
EA Sports Active NFL Training Camp,ea-sports-active-nfl-training-camp,15/11/2010,ESRB-E,1,0,NFL
Professor Layton vs Ace Attorney,professor-layton-vs-ace-attorney,00/00/2014,,,,
theHunter: Call of the Wild,thehunter-call-of-the-wild,15/02/2017,PEGI-16,1,1,
Ready 2 Rumble Boxing: Round 2,ready-2-rumble-boxing-round-2,22/10/2000,ESRB-T,1,1,
Kamaitachi no Yoru,kamaitachi-no-yoru,24/12/1994,,,,
Imagine: Rock Star,imagine-rock-star,16/06/2008,ESRB-E,1,0,
Yokai Watch 3: Sukiyaki,yokai-watch-3-sukiyaki,00/00/2019,,,,
Tales of Destiny II,tales-of-destiny-ii,00/00/2001,,,,
Super Bomberman 2,super-bomberman-2,27/04/1994,ESRB-E,1,1,
NASCAR 2001,nascar-2001,18/10/2000,ESRB-E,,,
The Legend of Zelda: Four Swords Adventures,the-legend-of-zelda-four-swords-adventures,17/03/2004,ESRB-E,1,1,
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,jikkyou-powerful-pro-yakyuu-99-kaimakuban,00/00/1999,,,,
Valkyrie Profile,valkyrie-profile,21/12/1999,ESRB-T,1,0,
Shaun White Snowboarding,shaun-white-snowboarding,13/11/2008,ESRB-T,1,1,
Final Fantasy Type-0,final-fantasy-type-0,26/10/2011,,1,1,Final Fantasy
Raft,raft,22/05/2018,,1,1,
Army Men: Sarge's Heroes,army-men-sarges-heroes,00/00/1999,,,,
Empire: Total War,empire-total-war,02/03/2009,PEGI-16,1,1,
Football Manager 2015,football-manager-2015,06/11/2014,PEGI-3,1,1,
Mega Man,mega-man,16/12/1987,ESRB-E,1,0,Mega Man
